Time,Year,Month,Day,Hour,day_of_week,Total_Value,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
2021-05-24 01:00:00,2021,5,24,1,0,124.251,5.375,9.5,7.438,79.125,16.563,6.25
2021-05-24 02:00:00,2021,5,24,2,0,124.751,9.125,14.5,8.062999999999999,65.313,21.5,6.25
2021-05-24 03:00:00,2021,5,24,3,0,132.001,6.25,11.438,7.5,78.813,20.5,7.5
2021-05-24 04:00:00,2021,5,24,4,0,125.5,9.75,9.0,5.375,76.5,19.375,5.5
2021-05-24 05:00:00,2021,5,24,5,0,124.251,5.25,14.063,8.375,72.563,18.25,5.75
2021-05-24 06:00:00,2021,5,24,6,0,134.001,9.0,13.125,6.563,76.563,22.75,6.0
2021-05-24 07:00:00,2021,5,24,7,0,129.501,9.375,10.563,6.313,73.5,23.75,6.0
2021-05-24 08:00:00,2021,5,24,8,0,176.0,8.125,11.875,12.75,69.75,17.5,56.0
2021-05-25 01:00:00,2021,5,25,1,1,123.5,6.0,12.0,5.875,77.375,16.25,6.0
2021-05-25 02:00:00,2021,5,25,2,1,123.751,8.0,13.25,8.312999999999999,71.438,17.0,5.75
2021-05-25 03:00:00,2021,5,25,3,1,128.251,7.125,9.75,7.688,81.563,15.875,6.25
2021-05-25 04:00:00,2021,5,25,4,1,131.751,10.375,13.938,8.187999999999999,62.75,30.25,6.25
2021-05-25 05:00:00,2021,5,25,5,1,130.0,6.375,13.75,9.375,72.25,17.25,11.0
2021-05-25 06:00:00,2021,5,25,6,1,149.75,9.375,13.625,8.5,80.25,27.75,10.25
2021-05-25 07:00:00,2021,5,25,7,1,167.00099999999998,29.0,11.688,9.563,86.0,20.75,10.0
2021-05-25 08:00:00,2021,5,25,8,1,213.5,63.875,11.75,11.125,103.875,10.875,12.0
2021-05-26 01:00:00,2021,5,26,1,2,122.751,25.75,10.375,4.438,60.688,15.25,6.25
2021-05-26 02:00:00,2021,5,26,2,2,126.251,9.625,13.188,9.375,65.938,22.375,5.75
2021-05-26 03:00:00,2021,5,26,3,2,135.751,10.625,12.438,6.0,77.313,23.125,6.25
2021-05-26 04:00:00,2021,5,26,4,2,122.75,6.0,12.375,4.375,78.5,15.25,6.25
2021-05-26 05:00:00,2021,5,26,5,2,132.251,7.125,14.0,4.813,70.188,18.875,17.25
2021-05-26 06:00:00,2021,5,26,6,2,152.25,10.375,12.375,4.125,87.875,19.75,17.75
2021-05-26 07:00:00,2021,5,26,7,2,164.50099999999998,26.625,11.813,6.438,89.375,13.25,17.0
2021-05-26 08:00:00,2021,5,26,8,2,272.501,47.75,17.063,11.813,107.875,15.0,73.0
2021-05-27 01:00:00,2021,5,27,1,3,127.751,43.375,10.313,8.25,43.438,16.625,5.75
2021-05-27 02:00:00,2021,5,27,2,3,142.50099999999995,5.5,15.375,8.437999999999999,89.31299999999997,17.875,6.0
2021-05-27 03:00:00,2021,5,27,3,3,126.501,7.375,11.813,7.875,71.563,21.875,6.0
2021-05-27 04:00:00,2021,5,27,4,3,127.251,7.75,11.688,6.875,74.688,20.0,6.25
2021-05-27 05:00:00,2021,5,27,5,3,155.001,9.625,13.563,9.0,71.438,23.375,28.0
2021-05-27 06:00:00,2021,5,27,6,3,161.75199999999995,3.0,12.563,9.688,90.938,17.313,28.25
2021-05-27 07:00:00,2021,5,27,7,3,181.501,3.0,11.875,7.125,115.688,15.813,28.0
2021-05-27 08:00:00,2021,5,27,8,3,244.00099999999998,30.375,15.563,14.438,123.25,20.375,40.0
2021-05-28 01:00:00,2021,5,28,1,4,127.251,13.0,9.438,4.375,78.438,15.75,6.25
2021-05-28 02:00:00,2021,5,28,2,4,6.813,1.625,0.813,4.375,0.0,0.0,0.0
