Time,Year,Month,Day,Hour,day_of_week,Total_Value,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
2021-05-21 20:00:00,2021,5,21,20,4,51.126000000000005,2.125,8.187999999999999,14.813,0.0,5.75,20.25
2021-05-21 21:00:00,2021,5,21,21,4,213.25099999999998,75.375,18.438,16.938,84.625,11.125,6.75
2021-05-21 22:00:00,2021,5,21,22,4,137.501,40.75,14.75,11.063,54.313,10.125,6.5
2021-05-21 23:00:00,2021,5,21,23,4,22.376,1.125,6.688,4.188,0.0,6.875,3.5
2021-05-24 00:00:00,2021,5,24,0,0,134.501,8.125,13.938,6.75,74.25,25.438,6.0
2021-05-24 20:00:00,2021,5,24,20,0,181.5,17.125,19.125,14.75,67.75,23.75,39.0
2021-05-24 21:00:00,2021,5,24,21,0,205.00099999999998,8.25,17.438,14.75,74.438,17.125,73.0
2021-05-24 22:00:00,2021,5,24,22,0,130.501,8.125,14.563,12.375,73.438,15.5,6.5
2021-05-24 23:00:00,2021,5,24,23,0,129.751,10.75,15.125,8.687999999999999,64.063,23.875,7.25
2021-05-25 00:00:00,2021,5,25,0,1,136.001,8.875,11.938,8.0,72.688,29.5,5.0
2021-05-25 20:00:00,2021,5,25,20,1,359.501,115.25,29.125,29.313,48.188,30.625,107.0
2021-05-25 21:00:00,2021,5,25,21,1,219.00099999999998,107.875,19.563,18.563,43.75,22.75,6.5
2021-05-25 22:00:00,2021,5,25,22,1,193.751,51.75,16.125,10.438,93.438,16.25,5.75
2021-05-25 23:00:00,2021,5,25,23,1,189.751,100.375,17.188,10.625,30.813,24.5,6.25
2021-05-26 00:00:00,2021,5,26,0,2,160.001,37.625,12.688,5.5,75.813,21.875,6.5
2021-05-26 20:00:00,2021,5,26,20,2,246.25099999999998,80.875,24.188,26.438,76.125,31.875,6.75
2021-05-26 21:00:00,2021,5,26,21,2,219.751,39.375,20.25,21.938,106.313,25.625,6.25
2021-05-26 22:00:00,2021,5,26,22,2,217.001,122.125,18.0,13.438,31.813,25.625,6.0
