Time,Year,Month,Day,Hour,day_of_week,Total_Value,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
2021-05-22 00:00:00,2021,5,22,0,5,159.501,78.5,13.188,8.875,31.563,20.875,6.5
2021-05-22 01:00:00,2021,5,22,1,5,83.001,17.5,8.625,3.063,44.063,6.75,3.0
2021-05-22 02:00:00,2021,5,22,2,5,136.75,9.625,14.0,9.0,79.75,18.125,6.25
2021-05-22 03:00:00,2021,5,22,3,5,130.751,9.75,13.938,7.688,78.875,14.75,5.75
2021-05-22 04:00:00,2021,5,22,4,5,88.251,7.25,10.563,7.313,46.0,10.375,6.75
2021-05-22 05:00:00,2021,5,22,5,5,17.5,1.875,4.25,2.5,0.0,5.875,3.0
2021-05-22 06:00:00,2021,5,22,6,5,172.50099999999998,7.5,12.813,6.938,80.0,17.75,47.5
2021-05-22 07:00:00,2021,5,22,7,5,131.0,4.75,12.625,6.875,48.125,10.625,48.0
2021-05-22 08:00:00,2021,5,22,8,5,33.688,2.0,1.6880000000000002,3.875,0.0,5.875,20.25
2021-05-22 09:00:00,2021,5,22,9,5,127.501,6.0,15.813,8.0,77.063,14.125,6.5
2021-05-22 10:00:00,2021,5,22,10,5,82.751,5.75,10.375,5.0,45.563,10.313,5.75
2021-05-22 11:00:00,2021,5,22,11,5,20.626,2.0,5.063,3.375,0.0,6.438,3.75
2021-05-22 12:00:00,2021,5,22,12,5,124.251,7.0,10.688,7.313,69.0,24.0,6.25
2021-05-22 13:00:00,2021,5,22,13,5,80.75,6.5,12.25,7.125,29.125,19.0,6.75
2021-05-22 14:00:00,2021,5,22,14,5,25.625,2.125,6.875,4.875,0.0,8.25,3.5
2021-05-22 15:00:00,2021,5,22,15,5,124.251,10.75,15.25,6.688,64.813,21.0,5.75
2021-05-22 16:00:00,2021,5,22,16,5,76.251,11.125,10.563,5.938,16.125,26.25,6.25
2021-05-22 17:00:00,2021,5,22,17,5,27.75,2.25,6.375,3.5,0.0,11.375,4.25
2021-05-22 18:00:00,2021,5,22,18,5,119.001,8.75,14.563,7.0,63.813,18.875,6.0
2021-05-22 19:00:00,2021,5,22,19,5,90.751,6.875,11.188,6.813,32.5,27.625,5.75
2021-05-22 20:00:00,2021,5,22,20,5,23.751,1.375,4.438,3.063,0.0,11.125,3.75
2021-05-22 21:00:00,2021,5,22,21,5,121.001,9.75,15.25,5.938,66.563,17.0,6.5
2021-05-22 22:00:00,2021,5,22,22,5,92.001,7.375,11.438,5.875,43.813,17.0,6.5
2021-05-22 23:00:00,2021,5,22,23,5,21.813000000000002,1.375,4.688,4.0,0.0,8.25,3.5
2021-05-23 00:00:00,2021,5,23,0,6,124.001,7.125,13.438,8.125,71.0,18.313,6.0
2021-05-23 01:00:00,2021,5,23,1,6,87.251,4.0,9.875,6.063,43.688,17.375,6.25
2021-05-23 02:00:00,2021,5,23,2,6,22.125,1.5,3.25,4.125,0.0,9.75,3.5
2021-05-23 03:00:00,2021,5,23,3,6,124.751,7.0,16.875,5.563,77.688,10.875,6.75
2021-05-23 04:00:00,2021,5,23,4,6,83.001,7.0,4.75,0.313,67.438,0.0,3.5
2021-05-23 05:00:00,2021,5,23,5,6,137.001,8.0,13.063,8.25,77.188,19.0,11.5
2021-05-23 06:00:00,2021,5,23,6,6,136.5,10.625,12.625,8.5,64.25,28.5,12.0
2021-05-23 07:00:00,2021,5,23,7,6,133.00099999999998,3.375,8.937999999999997,5.25,87.43799999999997,16.5,11.5
2021-05-23 08:00:00,2021,5,23,8,6,212.75099999999998,9.0,14.438,7.125,71.438,20.5,90.25
2021-05-23 09:00:00,2021,5,23,9,6,136.25099999999998,10.625,12.0,6.813,81.93799999999997,19.125,5.75
2021-05-23 10:00:00,2021,5,23,10,6,134.501,6.5,15.063,7.063,75.25,24.625,6.0
2021-05-23 11:00:00,2021,5,23,11,6,128.001,10.375,18.563,10.625,63.625,18.313,6.5
2021-05-23 12:00:00,2021,5,23,12,6,130.001,5.0,20.0,6.063,75.0,17.938,6.0
2021-05-23 13:00:00,2021,5,23,13,6,135.751,10.75,23.25,6.188,62.438,26.875,6.25
2021-05-23 14:00:00,2021,5,23,14,6,120.751,8.25,25.313,8.812999999999997,52.125,20.0,6.25
2021-05-23 15:00:00,2021,5,23,15,6,115.001,9.0,20.563,8.375,52.563,18.5,6.0
2021-05-23 16:00:00,2021,5,23,16,6,120.001,6.875,15.563,6.375,67.063,18.125,6.0
