Time,Year,Month,Day,Hour,day_of_week,Total_Value,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
2021-05-21 09:00:00,2021,5,21,9,4,167.25,53.125,16.25,22.375,52.375,13.875,9.25
2021-05-21 10:00:00,2021,5,21,10,4,167.25,53.125,16.25,22.375,52.375,13.875,9.25
2021-05-21 11:00:00,2021,5,21,11,4,34.438,2.5,10.375,10.188,0.0,4.625,6.75
2021-05-21 12:00:00,2021,5,21,12,4,284.25,76.0,24.75,33.125,126.0,17.125,7.25
2021-05-21 13:00:00,2021,5,21,13,4,188.75099999999998,53.5,23.313,33.188,61.625,9.875,7.25
2021-05-21 14:00:00,2021,5,21,14,4,41.501000000000005,3.5,11.938,14.688,0.0,6.625,4.75
2021-05-21 15:00:00,2021,5,21,15,4,285.251,174.875,27.625,33.313,9.563,28.625,11.25
2021-05-21 16:00:00,2021,5,21,16,4,187.25,57.75,23.625,32.0,55.875,10.25,7.75
2021-05-21 17:00:00,2021,5,21,17,4,35.126,2.25,13.813,11.063,0.0,4.5,3.5
2021-05-21 18:00:00,2021,5,21,18,4,297.5,48.625,26.75,32.75,122.5,18.875,48.0
2021-05-21 19:00:00,2021,5,21,19,4,213.25,27.25,22.125,27.875,77.625,10.125,48.25
2021-05-24 09:00:00,2021,5,24,9,0,178.00099999999998,10.5,12.813,13.063,67.875,17.25,56.5
2021-05-24 10:00:00,2021,5,24,10,0,145.75099999999995,7.5,13.563,12.0,85.31299999999997,21.125,6.25
2021-05-24 11:00:00,2021,5,24,11,0,136.0,7.75,20.0,15.0,64.25,23.0,6.0
2021-05-24 12:00:00,2021,5,24,12,0,131.251,9.5,17.5,14.313,66.438,17.25,6.25
2021-05-24 13:00:00,2021,5,24,13,0,135.001,6.75,14.5,13.438,78.0,16.313,6.0
2021-05-24 14:00:00,2021,5,24,14,0,133.501,6.625,22.375,15.938,57.75,24.813,6.0
2021-05-24 15:00:00,2021,5,24,15,0,123.501,9.0,15.188,14.438,61.125,17.25,6.5
2021-05-24 16:00:00,2021,5,24,16,0,128.501,8.875,16.563,14.375,64.438,17.75,6.5
2021-05-24 17:00:00,2021,5,24,17,0,133.001,3.75,18.063,16.188,70.75,18.25,6.0
2021-05-24 18:00:00,2021,5,24,18,0,133.5,4.375,16.75,13.625,74.625,18.125,6.0
2021-05-24 19:00:00,2021,5,24,19,0,131.251,5.625,21.188,13.375,59.438,25.375,6.25
2021-05-25 09:00:00,2021,5,25,9,1,319.501,41.625,13.438,14.125,142.188,16.125,92.0
2021-05-25 10:00:00,2021,5,25,10,1,268.5,115.0,26.875,22.375,77.125,20.625,6.5
2021-05-25 11:00:00,2021,5,25,11,1,280.5,98.5,35.625,36.5,81.0,19.375,9.5
2021-05-25 12:00:00,2021,5,25,12,1,300.5,83.625,35.75,42.625,101.5,28.5,8.5
2021-05-25 13:00:00,2021,5,25,13,1,297.001,88.25,29.125,42.563,102.188,27.375,7.5
2021-05-25 14:00:00,2021,5,25,14,1,284.501,107.75,31.625,42.563,73.813,20.75,8.0
2021-05-25 15:00:00,2021,5,25,15,1,293.501,49.25,27.375,36.938,144.313,25.625,10.0
2021-05-25 16:00:00,2021,5,25,16,1,289.501,83.875,29.563,37.563,98.875,32.125,7.5
2021-05-25 17:00:00,2021,5,25,17,1,286.5,80.875,40.75,36.0,76.375,46.0,6.5
2021-05-25 18:00:00,2021,5,25,18,1,271.001,56.625,38.75,33.063,108.563,27.5,6.5
2021-05-25 19:00:00,2021,5,25,19,1,248.75,79.625,29.25,31.25,68.375,34.5,5.75
2021-05-26 09:00:00,2021,5,26,9,2,237.501,59.625,18.25,12.938,125.813,14.375,6.5
2021-05-26 10:00:00,2021,5,26,10,2,272.501,58.625,25.563,23.813,136.375,19.125,9.0
2021-05-26 11:00:00,2021,5,26,11,2,289.0,135.125,37.875,34.0,48.875,24.625,8.5
2021-05-26 12:00:00,2021,5,26,12,2,330.501,91.75,36.438,36.563,109.125,48.625,8.0
2021-05-26 13:00:00,2021,5,26,13,2,312.0,100.25,34.625,39.0,76.125,55.0,7.0
2021-05-26 14:00:00,2021,5,26,14,2,286.501,99.875,40.188,40.313,70.25,26.875,9.0
2021-05-26 15:00:00,2021,5,26,15,2,278.501,73.0,34.0,37.563,95.563,27.375,11.0
2021-05-26 16:00:00,2021,5,26,16,2,252.251,110.0,32.875,34.688,49.063,17.875,7.75
2021-05-26 17:00:00,2021,5,26,17,2,271.501,89.125,34.313,31.313,71.0,31.25,14.5
2021-05-26 18:00:00,2021,5,26,18,2,261.251,89.125,29.0,31.563,69.938,27.375,14.25
2021-05-26 19:00:00,2021,5,26,19,2,326.25,74.5,23.375,30.125,91.0,18.0,89.25
2021-05-27 09:00:00,2021,5,27,9,3,248.501,125.625,14.188,16.0,44.313,39.375,9.0
2021-05-27 10:00:00,2021,5,27,10,3,258.001,74.625,20.125,24.563,107.438,24.25,7.0
2021-05-27 11:00:00,2021,5,27,11,3,276.251,72.25,36.875,29.063,107.813,20.0,10.25
2021-05-27 12:00:00,2021,5,27,12,3,291.25,79.25,29.125,31.25,124.125,21.25,6.25
2021-05-27 13:00:00,2021,5,27,13,3,277.751,74.5,28.813,34.438,110.625,22.625,6.75
2021-05-27 14:00:00,2021,5,27,14,3,269.751,155.625,30.563,36.125,19.438,20.75,7.25
2021-05-27 15:00:00,2021,5,27,15,3,284.251,49.5,24.75,32.563,143.563,25.625,8.25
2021-05-27 16:00:00,2021,5,27,16,3,271.25,137.375,25.25,37.0,39.125,24.75,7.75
2021-05-27 17:00:00,2021,5,27,17,3,68.813,63.0,0.438,5.375,0.0,0.0,0.0
2021-05-27 18:00:00,2021,5,27,18,3,281.001,69.125,46.5,32.375,91.563,26.938,14.5
2021-05-27 19:00:00,2021,5,27,19,3,267.001,75.375,22.188,29.625,103.25,22.063,14.5
2021-05-28 09:00:00,2021,5,28,9,4,264.75,56.125,16.625,15.125,118.0,19.625,39.25
2021-05-28 10:00:00,2021,5,28,10,4,249.501,79.75,20.5,24.563,98.688,18.5,7.5
2021-05-28 11:00:00,2021,5,28,11,4,73.625,65.375,4.5,3.75,0.0,0.0,0.0
2021-05-28 12:00:00,2021,5,28,12,4,305.5,134.25,28.75,37.375,65.75,32.375,7.0
2021-05-28 13:00:00,2021,5,28,13,4,289.251,63.0,31.688,38.188,129.125,20.5,6.75
2021-05-28 14:00:00,2021,5,28,14,4,290.0,111.875,31.75,37.125,83.625,18.125,7.5
2021-05-28 15:00:00,2021,5,28,15,4,289.751,96.25,25.438,35.25,86.81299999999997,36.25,9.75
2021-05-28 16:00:00,2021,5,28,16,4,262.501,85.0,31.063,32.5,88.18799999999997,18.25,7.5
2021-05-28 17:00:00,2021,5,28,17,4,33.563,30.625,0.813,2.125,0.0,0.0,0.0
2021-05-28 18:00:00,2021,5,28,18,4,250.50099999999998,84.375,25.563,31.688,73.375,29.0,6.5
2021-05-28 19:00:00,2021,5,28,19,4,252.0,68.75,25.0,27.0,102.375,22.875,6.0
2021-05-31 09:00:00,2021,5,31,9,0,225.50099999999998,57.0,13.563,13.188,118.375,17.375,6.0
2021-05-31 10:00:00,2021,5,31,10,0,254.251,47.75,18.0,23.813,139.688,17.75,7.25
2021-05-31 11:00:00,2021,5,31,11,0,305.501,119.0,43.063,34.875,73.188,28.375,7.0
2021-05-31 12:00:00,2021,5,31,12,0,293.251,26.25,43.813,35.75,162.063,16.625,8.75
2021-05-31 13:00:00,2021,5,31,13,0,300.25,88.125,44.375,38.375,103.375,17.25,8.75
2021-05-31 14:00:00,2021,5,31,14,0,26.376,17.5,5.813,3.063,0.0,0.0,0.0
2021-05-31 15:00:00,2021,5,31,15,0,297.0,136.0,37.5,33.0,54.25,27.25,9.0
2021-05-31 16:00:00,2021,5,31,16,0,289.751,84.25,34.188,31.313,99.375,34.375,6.25
2021-05-31 17:00:00,2021,5,31,17,0,9.687999999999999,5.625,1.25,2.813,0.0,0.0,0.0
2021-05-31 18:00:00,2021,5,31,18,0,282.001,130.25,35.875,34.563,44.938,29.875,6.5
2021-05-31 19:00:00,2021,5,31,19,0,275.251,99.75,30.063,30.5,80.063,29.125,5.75
2021-06-01 09:00:00,2021,6,1,9,1,247.001,118.25,16.813,15.375,53.563,36.0,7.0
2021-06-01 10:00:00,2021,6,1,10,1,155.501,49.75,20.188,17.375,15.188,46.0,7.0
2021-06-01 11:00:00,2021,6,1,11,1,302.251,106.5,33.313,32.688,34.375,88.625,6.75
2021-06-01 12:00:00,2021,6,1,12,1,311.251,52.625,31.813,38.875,160.438,21.25,6.25
2021-06-01 13:00:00,2021,6,1,13,1,294.001,118.125,30.875,40.688,64.438,32.875,7.0
2021-06-01 14:00:00,2021,6,1,14,1,77.375,68.625,1.875,6.875,0.0,0.0,0.0
2021-06-01 15:00:00,2021,6,1,15,1,296.501,60.125,28.313,38.375,139.188,21.0,9.5
2021-06-01 16:00:00,2021,6,1,16,1,166.25099999999998,45.375,27.875,35.438,33.438,16.875,7.25
2021-06-01 17:00:00,2021,6,1,17,1,274.251,77.125,32.625,38.563,83.875,36.313,5.75
2021-06-01 18:00:00,2021,6,1,18,1,279.251,69.875,24.438,37.375,104.75,36.563,6.25
2021-06-01 19:00:00,2021,6,1,19,1,295.001,120.25,24.125,36.063,58.188,50.375,6.0
2021-06-02 09:00:00,2021,6,2,9,2,231.25099999999998,85.375,15.125,17.063,60.813,46.625,6.25
2021-06-02 10:00:00,2021,6,2,10,2,252.751,73.75,17.813,24.875,106.813,22.25,7.25
2021-06-02 11:00:00,2021,6,2,11,2,42.375,31.125,5.75,5.5,0.0,0.0,0.0
2021-06-02 12:00:00,2021,6,2,12,2,293.001,68.75,31.313,46.5,108.625,30.813,7.0
2021-06-02 13:00:00,2021,6,2,13,2,286.251,49.125,27.563,44.875,140.375,17.563,6.75
2021-06-02 14:00:00,2021,6,2,14,2,55.313,44.125,4.063,7.125,0.0,0.0,0.0
2021-06-02 15:00:00,2021,6,2,15,2,308.5,58.75,29.625,43.25,144.125,24.25,8.5
